v1,v2,,,
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,,,
ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday",,,
ham,Hai priya are you right. What doctor said pa. Where are you.,,,
spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",,,
ham,Ok...,,,
ham,Please ask mummy to call father,,,
ham,Can come my room but cannot come my house cos my house still messy... Haha...,,,
ham,I have lost 10 kilos as of today!,,,
ham,Just taste fish curry :-P,,,
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,,,
ham,Yun ah.now �_ wkg where?btw if �_ go nus sc. �� wana specialise in wad?,,,
ham,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,,,
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.,,,
ham,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",,,
ham,U meet other fren dun wan meet me ah... Muz b a guy rite...,,,
ham,"(No promises on when though, haven't even gotten dinner yet)",,,
ham,I got your back! Do you have any dislikes in bed?,,,
ham,o turns out i had stereo love on mi phone under the unknown album.,,,
spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,,,
ham,Yeah I don't see why not,,,
ham,Asking do u knw them or nt? May be ur frnds or classmates?,,,
ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",,,
spam,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,,,
ham,"As in missionary hook up, doggy hook up, standing...|",,,
ham,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,,,
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",,,
ham,Am watching house ��� very entertaining ��� am getting the whole hugh laurie thing ��� even with the stick ��� indeed especially with the stick.,,,
ham,Thought praps you meant another one. Goodo! I'll look tomorrow ,,,
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur ��rents mayb interested in it, I hav 12,000pes, so around �48, tb, James.",,,
ham,There bold 2  &lt;#&gt; . Is that yours,,,
ham,You know there is. I shall speak to you in  &lt;#&gt;  minutes then,,,
ham,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\""""",,,
ham,I went to project centre,,,
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
ham,Lol yeah at this point I guess not,,,
ham,Doing project w frens lor. ,,,
ham,Lol. Well quality aint bad at all so i aint complaining,,,
ham,"K, can that happen tonight?",,,
spam,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive �5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",,,
ham,"I think we're going to finn's now, come",,,
ham,Why tired what special there you had,,,
ham,I will come tomorrow di,,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,K go and sleep well. Take rest:-).,,,
ham,U guys never invite me anywhere :(,,,
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of�2000 CASH 18+only. To opt out txt X to 07786200117,,,
ham,I can do that! I want to please you both inside and outside the bedroom...,,,
ham,"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\""""",,,
ham,I love to wine and dine my lady!,,,
spam,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,,,
ham,"I��m cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",,,
ham,I don know account details..i will ask my mom and send you.my mom is out of reach now.,,,
ham,I think u have the wrong number.,,,
ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),,,
ham,DO NOT B LATE LOVE MUM,,,
ham,Got it..mail panren paru..,,,
ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,,,
ham,Give one miss from that number please,,,
ham,Jus came back fr lunch wif my sis only. U leh?,,,
ham,How is your schedule next week? I am out of town this weekend.,,,
ham,Really good:)dhanush rocks once again:),,,
ham,Lmao ok I wont be needing u to do my hair anymore.,,,
ham,"Miss ya, need ya, want ya, love ya.",,,
ham,Sorry i'm not free...,,,
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,,,
ham,Nt yet chikku..simple habba..hw abt u?,,,
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",,,
ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,,,
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan,,,
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY �10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,,,
ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,,,
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,,,
ham,"K, want us to come by now?",,,
ham,How. Its a little difficult but its a simple way to enter this place,,,
ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,,,
ham,Dont show yourself. How far. Put new pictures up on facebook.,,,
ham,Watching tv now. I got new job :),,,
ham,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!",,,
ham,"I'm not coming over, do whatever you want",,,
ham,"Its ok chikku, and its my 1 of favourite song..:-)",,,
ham,Did u see what I posted on your Facebook?,,,
spam,Call FREEPHONE 0800 542 0578 now!,,,
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,,,
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",,,
spam,"Loan for any purpose �500 - �75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",,,
spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,,,
ham,";-( oh well, c u later",,,
ham,My uncles in Atlanta. Wish you guys a great semester.,,,
ham,No dear i do have free messages without any recharge. Hi hi hi,,,
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",,,
ham,I dun believe u. I thk u told him.,,,
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",,,
ham,Yes:)sura in sun tv.:)lol.,,,
ham,Arun can u transfr me d amt,,,
ham,Takin a shower now but yeah I'll leave when I'm done,,,
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,,,
ham,U haven��t lost me ill always b here 4u.i didn��t intend 2 hurt u but I never knew how u felt about me when Iwas+marine&that��s what itried2tell urmom.i careabout u,,,
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",,,
ham,You bad girl. I can still remember them,,,
ham,How much i gave to you. Morning.,,,
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",,,
ham,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone",,,
ham,Can i get your opinion on something first?,,,
ham,That one week leave i put know that time. Why.,,,
ham,"If we hit it off, you can move in with me :)",,,
ham,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?,,,
ham,I wanna watch that movie,,,
ham,Ok lor thanx... �� in school?,,,
ham,I'm in class. Did you get my text.,,,
ham,The bus leaves at  &lt;#&gt; ,,,
ham,God bless.get good sleep my dear...i will pray!,,,
spam,Todays Voda numbers ending 1225 are selected to receive a �50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app ,,,
ham,Do have a nice day today. I love you so dearly.,,,
ham,Aiyo a bit pai seh �_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,,,
ham,"Aight, I'll ask a few of my roommates",,,
ham,"Now, whats your house # again ? And do you have any beer there ?",,,
ham,Do �_ all wan 2 meet up n combine all the parts? How's da rest of da project going?,,,
ham,"\Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry\""""",,,
ham,Yes we are chatting too.,,,
ham,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,,,
ham,Sian... Aft meeting supervisor got work 2 do liao... U working now?,,,
ham,Are you going to write ccna exam this week??,,,
ham,Well i will watch shrek in 3D!!B),,,
ham,Am i that much dirty fellow?,,,
ham,Dunno dat's wat he told me. Ok lor...,,,
ham,I'll probably be by tomorrow (or even later tonight if something's going on),,,
ham,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night,,,
ham,If you're thinking of lifting me one then no.,,,
ham,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?,,,
ham,Sent me ur email id soon,,,
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,,,
ham,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",,,
ham,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.,,,
ham,May i call You later Pls,,,
spam,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",,,
ham,That's the way you should stay oh.,,,
ham,Hello- thanx for taking that call. I got a job! Starts on monday!,,,
ham,What time is ur flight tmr?,,,
ham,When should I come over?,,,
ham,I have a rather prominent bite mark on my right cheek,,,
ham,* Will be september by then!,,,
ham,Are you wet right now?,,,
ham,And how's your husband.,,,
spam,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx",,,
ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,,,
ham,Yeah. I got a list with only u and Joanna if I'm feeling really anti social,,,
ham,I am in your office na.,,,
ham,"\Are you comingdown later?\""""",,,
ham,Super da:)good replacement for murali,,,
ham,Da is good good player.why he is unsold.,,,
ham,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.,,,
ham,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!,,,
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",,,
ham,I dont want to hear philosophy. Just say what happen,,,
ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.,,,
ham,Then cant get da laptop? My matric card wif �_ lei... ,,,
ham,Dunno da next show aft 6 is 850. Toa payoh got 650.,,,
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate ",,,
ham,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.,,,
ham,They did't play one day last year know even though they have very good team.. Like india.,,,
ham,K.:)you are the only girl waiting in reception ah?,,,
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",,,
ham,I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.,,,
ham,"Sir, i am waiting for your call.",,,
ham,What's up. Do you want me to come online?,,,
ham,"It could work, we'll reach a consensus at the next meeting",,,
ham,Aiyah then i wait lor. Then u entertain me. Hee...,,,
ham,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",,,
ham,I'll let you know when it kicks in,,,
ham,You call him now ok i said call him,,,
ham,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.,,,
ham,Or �_ go buy wif him then i meet �_ later can?,,,
ham,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,,,
ham,Today my system sh get ready.all is well and i am also in the deep well,,,
ham,Mom wants to know where you at,,,
ham,"Aight, I'll text you when I'm back",,,
ham,Dont know supports ass and srt i thnk. I think ps3 can play through usb too,,,
ham,Oh ok i didnt know what you meant. Yep i am baby jontin,,,
spam,You have WON a guaranteed �1000 cash or a �2000 prize.To claim yr prize call our customer service representative on,,,
spam,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,,,
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
ham,Watching tv now. I got new job :),,,
ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! ,,,
ham,I AM AT A PARTY WITH ALEX NICHOLS,,,
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,,,
ham,Just seeing your missed call my dear brother. Do have a gr8 day.,,,
ham,Ok.. �� finishing soon?,,,
ham,"Sorry, I can't help you on this.",,,
ham,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(",,,
ham,I love your ass! Do you enjoy doggy style? :),,,
ham,I think asking for a gym is the excuse for lazy people. I jog.,,,
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs ,,,
spam,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or �5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,,,
ham,No. On the way home. So if not for the long dry spell the season would have been over,,,
ham,I gotta collect da car at 6 lei.,,,
ham,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,,,
ham,Probably earlier than that if the station's where I think it is,,,
spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,,,
ham,Good Morning plz call me sir,,,
spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)",,,
ham,"Uh, heads up we don't have THAT much left",,,
ham,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.,,,
ham,"Aight, sounds good. When do you want me to come down?",,,
ham,Wat would u like 4 ur birthday?,,,
ham,I love working from home :),,,
ham,And miss vday the parachute and double coins??? U must not know me very well...,,,
ham,"Sorry, I'll call later",,,
ham,My sister got placed in birla soft da:-),,,
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,,,
ham,Wah... Okie okie... Muz make use of e unlimited... Haha... ,,,
ham,"There're some people by mu, I'm at the table by lambda",,,
ham,And stop being an old man. You get to build snowman snow angels and snowball fights.,,,
ham,ELLO BABE U OK?,,,
ham,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u ,,,
ham,Then u going ikea str aft dat?,,,
ham,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer,,,
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,,,
ham,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.,,,
ham,You want to go? ,,,
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl,,,
ham,Its not that time of the month nor mid of the time?,,,
ham,Fffff. Can you text kadeem or are you too far gone,,,
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,,,
ham,Is fujitsu s series lifebook good?,,,
ham,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.,,,
ham,Dont know you bring some food,,,
ham,No current and food here. I am alone also,,,
ham,I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...,,,
ham,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?,,,
ham,Ok,,,
ham,We don call like  &lt;#&gt;  times oh. No give us hypertension oh.,,,
ham,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!",,,
ham,Omg it could snow here tonite!,,,
spam,Call from 08702490080 - tells u 2 call 09066358152 to claim �5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,,,
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or �250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.,,,
ham,Carry on not disturbing both of you,,,
ham,What pa tell me.. I went to bath:-),,,
ham,Jus finished avatar nigro,,,
ham,R u over scratching it?,,,
ham,Hope you are having a great day.,,,
ham,Did either of you have any idea's? Do you know of anyplaces doing something?,,,
ham,My planning usually stops at \find hella weed," smoke hella weed\""""",,
ham,The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do,"\"" not \""what i need to do.\""""",,
ham,Excellent! Are you ready to moan and scream in ecstasy?,,,
spam,More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. A�1.50 minAPN LS278BB,,,
ham,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex,,,
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or �5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost�1.50/pm, Max10mins",,,
ham,K...k:)why cant you come here and search job:),,,
ham,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(,,,
ham,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu",,,
ham,Can �_ call me at 10:10 to make sure dat i've woken up...,,,
ham,Hey we can go jazz power yoga hip hop kb and yogasana ,,,
ham,The battery is for mr adewale my uncle. Aka Egbon,,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,Wait 2 min..stand at bus stop,,,
ham,Oh ic. I thought you meant mary jane.,,,
ham,Haha... Really oh no... How? Then will they deduct your lesson tmr?,,,
ham,Nah im goin 2 the wrks with j wot bout u?,,,
ham,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................,,,
ham,Good night. Am going to sleep.,,,
ham,"Aight I'll grab something to eat too, text me when you're back at mu",,,
ham,K...k:)why cant you come here and search job:),,,
ham,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.,,,
ham,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite",,,
ham,Howz that persons story,,,
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,,,
ham,LOL that would be awesome payback.,,,
spam,it to 80488. Your 500 free text messages are valid until 31 December 2005.,,,
ham,Yes :)it completely in out of form:)clark also utter waste.,,,
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",,,
ham,Thanks. It was only from tescos but quite nice. All gone now. Speak soon ,,,
ham,What's a feathery bowa? Is that something guys have that I don't know about?,,,
ham,Even i cant close my eyes you are in me our vava playing umma :-D,,,
ham,2 laptop... I noe infra but too slow lar... I wan fast one,,,
spam,You have won a guaranteed �200 award or even �1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP,,,
ham,Nvm it's ok...,,,
ham,Enjoy ur life. . Good night,,,
ham,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march ��_ ish!,,,
ham,I had askd u a question some hours before. Its answer,,,
ham,Thats cool. Where should i cum? On you or in you? :),,,
ham,Delhi and chennai still silent.,,,
ham,Lol alright i was thinkin that too haha,,,
spam,Reply to win �100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,,,
ham,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,,,
ham,Shhhhh nobody is supposed to know!,,,
ham,"Sorry, I'll call later",,,
ham,"Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt; ",,,
ham,Hey i will be late... i'm at amk. Need to drink tea or coffee,,,
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,,,
spam,Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm,,,
ham,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.,,,
ham,S..antha num corrct dane,,,
ham,No calls..messages..missed calls,,,
ham,"Sorry, I'll call later",,,
ham,The basket's gettin full so I might be by tonight,,,
ham,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX,,,
ham,No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!,,,
spam,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,,,
ham,Eh den sat u book e kb liao huh...,,,
ham,Have you been practising your curtsey?,,,
ham,Shall i come to get pickle,,,
ham,Lol boo I was hoping for a laugh,,,
ham,\YEH I AM DEF UP4 SOMETHING SAT,"JUST GOT PAYED2DAY & I HAVBEEN GIVEN A�50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV\""""",,
ham,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",,,
ham,LMAO where's your fish memory when I need it?,,,
ham,But i'll b going 2 sch on mon. My sis need 2 take smth.,,,
ham,Idea will soon get converted to live:),,,
spam,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,,,
ham,S....s...india going to draw the series after many years in south african soil..,,,
ham,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min.",,,
ham,Can't take any major roles in community outreach. You rock mel,,,
ham,Shopping lor. Them raining mah hard 2 leave orchard.,,,
ham,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.,,,
ham,See the forwarding message for proof,,,
ham,"I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do.",,,
ham,Dunno lei... I thk mum lazy to go out... I neva ask her yet...,,,
ham,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You're still getting in after 1.",,,
ham,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOODMORNING""",,,
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed �1000 CASH or �2000 gift. Speak to a live operator NOW!,,,
ham,Ambrith..madurai..met u in arun dha marrge..remembr?,,,
ham,Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time ,,,
ham,"Princess, is your kitty shaved or natural?",,,
ham,"Better than bb. If he wont use it, his wife will or them doctor",,,
ham,Ya it came a while ago,,,
ham,From tomorrow onwards eve 6 to 3 work.,,,
ham,Anything lor but toa payoh got place 2 walk meh...,,,
ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex",,,
spam,"U can WIN �100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",,,
ham,Is there any movie theatre i can go to and watch unlimited movies and just pay once?,,,
ham,U having lunch alone? I now so bored...,,,
ham,"Yes obviously, but you are the eggs-pert and the potato head��_ Speak soon! ",,,
ham,"Nah man, my car is meant to be crammed full of people",,,
ham,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch,,,
ham,Kallis is ready for bat in 2nd innings,,,
ham,Thanx but my birthday is over already.,,,
ham,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?",,,
ham,"I noe la... U wana pei bf oso rite... K lor, other days den...",,,
ham,"Yes, i'm small kid.. And boost is the secret of my energy..",,,
ham,IM GONNA MISS U SO MUCH,,,
ham,Is avatar supposed to have subtoitles,,,
ham,Simply sitting and watching match in office..,,,
ham,You can jot down things you want to remember later.,,,
ham,Oh sorry please its over,,,
ham,Hey are we going for the lo lesson or gym? ,,,
ham,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.",,,
ham,You always make things bigger than they are,,,
ham,�� dun wan to watch infernal affair?,,,
ham,"Me not waking up until 4 in the afternoon, sup",,,
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,,,
ham,I can send you a pic if you like :),,,
ham,Okay... I booked all already... Including the one at bugis.,,,
ham,"Aight fuck it, I'll get it later",,,
ham,No de. But call me after some time. Ill tell you k,,,
ham,So dont use hook up any how,,,
ham,How much is blackberry bold2 in nigeria.,,,
ham,Hi where you. You in home or calicut?,,,
ham,Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx,,,
